id,Northing,Easting,utm.zone,behavior 
LOWA1,4004780,494308,16S,male and female foraging
LOWA1,4004836,494291,16S,pair foraging
LOWA1,4004769,494299,16S,pair in tributary
LOWA1,4004692,494308,16S,countersinging
LOWA1,4004636,494290,16S,male with unbanded female
LOWA1,4004617,494120,16S,countersinging
LOWA1,4004636,494641,16S,male and female turned around
LOWA2,4004559,494245,16S,male countersinging to barry_b
LOWA2,4004681,493967,16S,countersinging
LOWA2,4004592,494093,16S,nesting
LOWA2,4004769,494021,16S,foraging
LOWA2,4004614,494066,16S,foraging
LOWA2,4004559,494155,16S,fecal sacks
LOWA3,4004902,494515,16S,foraging
LOWA3,4004836,494713,16S,singing
LOWA3,4004969,494408,16S,captured in net
LOWA3,4005024,494399,16S,male with fledgelings
LOWA3,4004924,494677,16S,countersinging and carrying food
